Employee Name,Building,Department,Birth Date,Hire Date,Years,Compensation,Job Rating,Benefits
"Cross, Marc",WATSON,Operations,32906,42735,4,58280,4,DM—
"Clay, William",MAIN,Operations,33913,42861,4,59740,4,D——
"Clayton, Gregory",MAIN,Operations,32496,43013,3,100030,2,D——
"Joseph, Christopher",MAIN,Operations,33890,43099,3,44840,4,D—R
"Winters, Shaun",MAIN,Operations,24866,35971,23,17280,4,DMR
"Terry, Karin",NORTH,Operations,27004,38746,15,63210,1,—M—
"Hodge, Craig",WEST,Operations,28975,38773,15,38120,3,D——
"Andrews, Diane",SOUTH,Operations,28853,39023,14,35360,2,DM—
"Powers, Tia",WEST,Operations,27818,39790,12,41070,1,—MR
"Neal, Sally",SOUTH,Operations,30465,39793,12,21000,3,—M—
"Coleman, Randi",MAIN,Operations,26320,39818,12,62430,4,—M—
"Dalton, Carol",NORTH,Operations,32211,41014,9,41260,5,D—R
"Hancock, Allen",WEST,Operations,31027,41750,7,62970,5,——R
"Hall, Jenny",WEST,Operations,33849,42523,5,50920,2,—M—
"Kemp, Holly",MAIN,Operations,31741,43003,3,26450,3,DM—
"Walton, Benjamin",NORTH,Operations,25810,35957,23,48630,4,D—R
"Vasquez, Michael",NORTH,Peptide Chemistry,26498,38099,17,71530,4,——R
"McKenzie, Michelle",TAFT,Peptide Chemistry,25832,38376,16,114140,4,——R
"Gardner, Anthony",WEST,Peptide Chemistry,25456,38699,15,95670,2,DM—
"Evans, Rolin",WEST,Peptide Chemistry,31033,39888,12,38990,3,—MR
"Christian, Melissa",NORTH,Peptide Chemistry,31865,40455,10,103090,3,DMR
"Gomez, Ed",TAFT,Peptide Chemistry,32984,42985,3,97710,2,—M—
"Watts, Curtis",MAIN,Peptide Chemistry,32437,43024,3,99130,4,——R
"Moore, Robert",SOUTH,Peptide Chemistry,22854,36269,22,51630,5,D——
"Moore, Robert",SOUTH,Peptide Chemistry,22854,36269,22,51630,5,D——
"Walter, Michael",NORTH,Peptide Chemistry,25291,36393,21,64090,5,—M—
"Harper, Cynthia",NORTH,Peptide Chemistry,24016,36556,21,116130,1,DM—
"Briggs, Bryan",NORTH,Peptide Chemistry,26964,37773,18,30180,5,—MR
"Sandoval, James",MAIN,Peptide Chemistry,26886,38827,15,31050,2,—M—
"Lloyd, John",WATSON,Peptide Chemistry,25895,39118,14,90300,5,D——
"Hensley, William",SOUTH,Peptide Chemistry,28291,39219,14,59990,5,—MR
"Grimes, Jeffrey",MAIN,Peptide Chemistry,30356,39550,13,94800,2,DM—
"Sparks, Terri",SOUTH,Peptide Chemistry,33138,43185,3,82080,2,DMR
"Guzman, Don",SOUTH,Peptide Chemistry,29689,37802,18,65220,4,DM—
"Harrison, Jonathan",MAIN,Peptide Chemistry,27088,38613,15,27060,3,D——
"Campbell, Michael",MAIN,Peptide Chemistry,25263,38033,17,46610,3,—MR
"William, William",MAIN,Peptide Chemistry,29020,38736,15,28600,4,—M—
"Ramos, Jan",WATSON,Peptide Chemistry,30308,40479,10,14580,2,D—R
"Shelton, Donna",WEST,Pharmacokinetics,26052,37060,20,94640,2,DMR
"Arnold, Cole",WEST,Pharmacokinetics,26994,38103,17,33160,2,DMR
"Gilmore, Terry",MAIN,Pharmacokinetics,26814,38219,16,59160,4,DMR
"Graves, Michael",NORTH,Pharmacokinetics,25891,37466,18,83410,1,DM—
"Cole, Elbert",NORTH,Process Development,23599,36463,21,43100,1,———
"Cameron, John",TAFT,Process Development,28475,37154,19,88060,2,—MR
"Fletcher, Brian",SOUTH,Process Development,34482,42435,5,71280,3,DM—
"Saunders, Corey",TAFT,Process Development,34698,43120,3,52060,4,DMR
"Randall, Yvonne",TAFT,Process Development,31870,43272,3,111280,1,D——
"Savage, John",NORTH,Process Development,23182,36109,22,81140,5,D——
"Ray, ReAnnon",MAIN,Process Development,25577,36230,22,57530,5,———
"Bryan, Thomas",WEST,Process Development,25278,36272,22,57010,2,—MR
"Rivers, Douglas",WEST,Process Development,27443,36288,22,34800,1,D—R
"Harmon, Paul",NORTH,Process Development,26742,36294,22,105300,4,—MR
"Chen, Jaime",NORTH,Process Development,23030,36530,21,,2,———
"Fleming, Irv",MAIN,Process Development,24315,36533,21,61920,3,DM—
"Washington, Phillip",NORTH,Process Development,28806,36580,21,89770,1,—MR
"Massey, Mark",MAIN,Process Development,27048,36763,20,96400,5,—M—
"Padilla, Christopher",SOUTH,Process Development,26625,37354,19,114880,3,—M—
"McKee, Michelle",NORTH,Process Development,26182,37389,19,117280,3,—M—
"Bruce, Kevin",WATSON,Process Development,29503,37392,19,102750,2,——R
"Valdez, Ann",MAIN,Process Development,24894,37553,18,34100,5,D—R
"Prince, Robert",SOUTH,Process Development,24790,37785,18,83270,5,D—R
"Miles, Kenneth",WEST,Process Development,24842,37991,17,57300,1,D——
"Whitaker, Jessica",NORTH,Process Development,25626,38031,17,88740,4,—M—
"Warner, Stephen",MAIN,Process Development,26792,38064,17,102890,4,———
"Palmer, Terry",NORTH,Process Development,29297,38555,15,90450,5,D——
"Blankenship, Roger",MAIN,Process Development,27974,38621,15,98380,5,D—R
"Cooper, Lisa",MAIN,Process Development,32674,40879,9,113780,3,D—R
"Hunt, Norman",NORTH,Process Development,32029,41459,8,62120,4,———
"Kirk, Chris",NORTH,Process Development,31036,41568,7,36380,2,——R
"Malone, Daniel",NORTH,Process Development,32048,42056,6,67310,4,———
"Gutierrez, Regina",WEST,Process Development,33567,42309,5,106760,1,DM—
"Ayers, Douglas",WATSON,Process Development,29912,42330,5,105720,2,D—R
"Gallagher, Johnson",TAFT,Process Development,33650,43022,3,88230,4,D—R
"Stafford, Rhonda",MAIN,Process Development,24200,36154,22,46260,4,DM—
"Fisher, Maria",TAFT,Process Development,27304,37269,19,17730,1,DM—
"Leach, Jingwen",NORTH,Process Development,29836,39347,13,,1,———
"Holland, Donald",WEST,Process Development,29888,40122,11,44630,5,D——
"Henderson, Anthony",TAFT,Process Development,33961,41951,6,63040,3,—MR
"Murray, Rebecca",WATSON,Process Development,35225,43045,3,22340,1,———
"Wilson, Jessica",MAIN,Process Development,26621,38981,14,52490,1,—MR
"Golden, Christine",MAIN,Process Development,29617,40363,11,28580,2,D—R
"Schwartz, Joseph",NORTH,Process Development,27495,40796,9,44240,4,—M—
"Boyer, John",WEST,Process Development,32463,43055,3,19870,5,D—R
"Vincent, Guy",MAIN,Process Development,35405,43104,3,12120,3,DM—
"Hoffman, Brian D",TAFT,Professional Training Group,26612,35938,23,64770,3,——R
"Bell, David",MAIN,Professional Training Group,24461,35765,23,43030,5,DM—
"Ashley, Michael",WATSON,Professional Training Group,22934,35831,23,56910,2,——R
"Moran, Carol",NORTH,Professional Training Group,25153,35838,23,54040,3,D——
"Little, Steve",NORTH,Professional Training Group,23330,35898,23,94680,1,—MR
"Bean, Deborah",NORTH,Professional Training Group,25000,35932,23,116090,4,—MR
"Lester, Sherri",MAIN,Professional Training Group,25197,35972,23,46620,3,DMR
"Santiago, Michael",MAIN,Professional Training Group,25281,36092,22,91610,5,———
"Simmons, Robert",MAIN,Professional Training Group,25207,36112,22,102590,3,DMR
"Allen, Thomas",WATSON,Professional Training Group,26227,36165,22,58820,2,——R
"Blake, Thomas",MAIN,Professional Training Group,27846,36188,22,107620,5,D—R
"Alvarez, Steven",WEST,Professional Training Group,27209,36240,22,58900,5,DMR
"Flowers, Kathleen",NORTH,Professional Training Group,27157,35764,23,32760,1,DMR
"Stephenson, Matthew",WEST,Professional Training Group,23403,35812,23,52300,5,D——
"Hatfield, Carl",NORTH,Professional Training Group,25204,36001,22,21140,3,——R
"Rodriguez, Scott",NORTH,Professional Training Group,22911,35810,23,43870,4,——R
"Pearson, Cassy",WEST,Project & Contract Services,25711,35819,23,30390,4,DMR
"Stevens, Andrew",MAIN,Project & Contract Services,24571,35886,23,77420,4,—M—
"York, Steven",WEST,Project & Contract Services,23053,36290,22,62820,3,———
"Edwards, Phillip",WEST,Project & Contract Services,28433,36310,22,79930,2,—M—
"Holt, Robert",MAIN,Project & Contract Services,28117,36601,21,59030,2,——R
"O'Connor, Kent",MAIN,Project & Contract Services,25713,37130,19,74780,1,DMR
"Mills, Melissa",NORTH,Project & Contract Services,29043,37310,19,113490,2,D—R
"Lindsey, Deborah",MAIN,Project & Contract Services,24855,37378,19,43720,2,D—R
"Lee, Charles",SOUTH,Project & Contract Services,29084,37567,18,101470,5,———
"Johnson, Mary Jo",NORTH,Project & Contract Services,24483,37798,18,,1,———
"Hickman, John",NORTH,Project & Contract Services,29613,37953,17,79290,2,——R
"Thornton, Charles",WEST,Project & Contract Services,26268,38193,16,65380,4,D—R
"Goodman, Kuyler",TAFT,Project & Contract Services,26187,38351,16,47820,2,———
"Phillips, Liesl",WEST,Project & Contract Services,26381,38738,15,62730,1,—M—
"Lane, Brandyn",MAIN,Project & Contract Services,30755,38949,14,76550,5,D——
"Mann, Lowell",WATSON,Project & Contract Services,26119,39027,14,94120,5,——R
"Velasquez, Clint",NORTH,Project & Contract Services,27794,39439,13,118320,4,D——
"Parsons, Phillip",MAIN,Project & Contract Services,31142,40056,11,79290,3,——R
"Silva, Stephen",NORTH,Project & Contract Services,30298,40178,11,81290,3,——R
"Bryant, Douglas",MAIN,Project & Contract Services,32184,43056,3,52210,5,—M—
"Carroll, Lesa",WEST,Project & Contract Services,34954,43062,3,76140,4,—M—
"Brooks, Richard",MAIN,Project & Contract Services,24890,35750,23,63470,2,——R
"Hubbard, Sandra",NORTH,Project & Contract Services,26840,35780,23,60870,4,——R
"Boone, Eric",MAIN,Project & Contract Services,23240,36013,22,31800,4,DM—
"Rodgers, Daniel",MAIN,Project & Contract Services,22865,36112,22,102620,1,——R
"Hammond, Robert",MAIN,Project & Contract Services,26796,36162,22,71940,5,—MR
"Howell, Douglas",MAIN,Project & Contract Services,22747,36178,22,104810,4,DM—
"Bond, John",NORTH,Project & Contract Services,23599,36225,22,94620,4,D——
"Hart, Richard",MAIN,Project & Contract Services,26496,36713,21,30780,4,—MR
"Keith, Thomas",NORTH,Project & Contract Services,24318,36801,20,83740,3,DMR
"Lowe, Michelle",MAIN,Project & Contract Services,26421,36821,20,91630,2,D——
"French, Robert",MAIN,Project & Contract Services,28433,36874,20,82750,2,——R
"Welch, Michael",SOUTH,Project & Contract Services,27403,37345,19,117240,2,—MR
"Salazar, Ruben",WEST,Project & Contract Services,27772,37641,18,66750,4,——R
"Quinn, Cinnamon",WEST,Project & Contract Services,27973,37746,18,80720,2,——R
"Rich, Brent",WEST,Project & Contract Services,24578,37803,18,39280,2,DM—
"Alvarado, Sonia",NORTH,Project & Contract Services,28311,37821,17,95880,3,—MR
"Rowe, Ken",MAIN,Project & Contract Services,28344,37871,17,62490,2,D—R
"Salinas, Jon",WEST,Project & Contract Services,25989,37938,17,95960,5,D—R
"Bridges, Jeff",NORTH,Project & Contract Services,25950,38180,17,83520,1,DMR
"Dixon, Richard",NORTH,Project & Contract Services,27739,38268,16,44960,2,—MR
"Delgado, Dale",NORTH,Project & Contract Services,26525,38345,16,32130,4,DMR
"Reid, Elizabeth",WEST,Project & Contract Services,25548,38473,16,30190,3,—M—
"Flores, Angela",TAFT,Project & Contract Services,29700,38570,15,97340,4,——R
"Benson, Troy",NORTH,Project & Contract Services,30463,38610,15,81070,4,D—R
"Kramer, Faye",MAIN,Project & Contract Services,28067,38642,15,48690,1,——R
"Kramer, Faye",MAIN,Project & Contract Services,28067,38642,15,48690,1,——R
"Pacheco, Therese",MAIN,Project & Contract Services,30641,38740,15,72050,4,DM—
"Richardson, Deborah",TAFT,Project & Contract Services,27285,38788,15,59400,4,D—R
"Carpenter, Ronald",MAIN,Project & Contract Services,30980,39188,14,82370,4,——R
"Gordon, Diane",MAIN,Project & Contract Services,27178,39325,13,63800,1,DM—
"Blackwell, Brandon",MAIN,Project & Contract Services,27352,39790,12,38450,1,DM—
"Charles, Jeffrey",NORTH,Project & Contract Services,31944,40220,11,59530,2,D——
"Davenport, Troy",NORTH,Project & Contract Services,28418,40353,11,31100,3,———
"Brock, Ensley",SOUTH,Project & Contract Services,32557,40500,10,101520,2,DM—
"Conway, Brett",WATSON,Project & Contract Services,32618,41075,9,80960,2,—MR
"Lang, Dana",WATSON,Project & Contract Services,28021,41442,8,82750,3,—MR
"Patton, Corey",MAIN,Project & Contract Services,31479,41699,7,86960,5,D——
"Foley, Peter",WATSON,Project & Contract Services,32533,41869,6,97460,2,—M—
"Wells, Carlos",NORTH,Project & Contract Services,32757,42014,6,55470,5,———
"McLean, Richard",NORTH,Project & Contract Services,30671,42098,6,58940,1,DMR
"Day, David",NORTH,Project & Contract Services,32593,42516,5,84900,5,———
"Gallegos, Rick",WEST,Project & Contract Services,33004,42551,5,32720,3,—M—
"Copeland, Roger",MAIN,Project & Contract Services,30962,42789,4,71530,4,———
"Barrett, John",NORTH,Project & Contract Services,33632,43090,3,78080,4,DMR
"Buckel, Patricia",NORTH,Project & Contract Services,30731,43129,3,83430,1,———
"Webb, Jim",MAIN,Project & Contract Services,30088,43276,3,114180,1,DM—
"Goodwin, April",WEST,Project & Contract Services,26348,36323,22,61220,3,DM—
"Patel, Donald",WEST,Project & Contract Services,23961,37445,19,14120,4,D—R
"Ortega, Jeffrey",SOUTH,Project & Contract Services,26634,38478,16,41190,2,——R
"Carson, Anthony",NORTH,Project & Contract Services,26988,38736,15,60390,5,———
"Hudson, Lorna",SOUTH,Project & Contract Services,29325,38869,15,29670,4,D—R
"Aguilar, Kevin",MAIN,Project & Contract Services,27085,39901,12,16560,4,D——
"Solis, Daniel",NORTH,Project & Contract Services,27921,40825,9,43430,2,——R
"Wagner, Lynne",WATSON,Project & Contract Services,30040,41375,8,14030,3,——R
"Newton, Leigh",SOUTH,Project & Contract Services,31124,42380,5,60150,1,DM—
"Newton, Leigh",SOUTH,Project & Contract Services,31124,42380,5,60150,1,DM—
"Castillo, Sheri",MAIN,Project & Contract Services,31606,42818,4,33320,5,———
"Baldwin, Ray",TAFT,Project & Contract Services,32118,42906,4,64280,3,——R
"Booth, Raquel",WATSON,Project & Contract Services,30266,42945,3,15590,1,DM—
"Daniels, Janet",WEST,Project & Contract Services,29872,43073,3,65150,5,——R
"Lopez, Stephen",WEST,Project & Contract Services,25546,38598,15,18920,5,——R
"Adkins, Michael",NORTH,Project & Contract Services,30231,38680,15,22030,3,DM—
"Farmer, Suzanne",NORTH,Project & Contract Services,28527,38992,14,48860,4,DMR
"Molina, Michael",MAIN,Project & Contract Services,26928,39032,14,47590,5,—MR
"Pope, Duane",TAFT,QA,27313,35934,23,118070,2,———
"Hull, Jeanne",MAIN,QA,23240,36073,22,61580,2,DMR
"Morse, Michael",NORTH,Quality Assurance,23601,36566,21,73510,2,D—R
"Baxter, Teresa",MAIN,QA,29162,38458,16,113650,4,D—R
"Rice, Diane",WEST,Quality Assurance,29327,38722,15,77950,4,D——
"Knox, Lori",NORTH,Quality Assurance,29399,38866,15,70370,5,D——
"Rivera, Timothy",MAIN,Quality Assurance,30772,39058,14,80260,4,———
"Hill, Robin",NORTH,QA,27557,39131,14,72390,4,D——
"Hill, Robin",NORTH,QA,27557,39131,14,72390,4,D——
"Carlson, Jeremy",MAIN,Quality Assurance,30643,39294,13,,3,———
"Gibbs, Debra",TAFT,Quality Assurance,28151,39734,12,61750,2,DMR
"Hogan, Daniel",TAFT,Quality Assurance,31223,40679,10,85260,1,D—R
"Myers, Marc",NORTH,Quality Assurance,28245,41445,8,113430,2,DM—
"Adams, David",NORTH,QA,32244,42372,5,57180,5,—MR
"Burns, Fiona",MAIN,Quality Assurance,30066,43002,3,28490,3,—M—
"Woodard, Charles",NORTH,QA,24794,35874,23,71150,5,—MR
"Leon, Emily",NORTH,Quality Assurance,25925,35921,23,32790,1,DMR
"Colon, Donnie",TAFT,Quality Assurance,22914,36106,22,89650,4,DMR
"Fields, Cathy",WATSON,QA,24512,36200,22,83230,3,——R
"Bailey, Victor",NORTH,Quality Assurance,25617,36256,22,72380,1,—MR
"Dorsey, Matthew",NORTH,QA,24534,36337,22,86550,3,———
"Mueller, Philip",NORTH,Quality Assurance,27388,36363,21,90380,4,DM—
"Zimmerman, Julian",MAIN,Quality Assurance,26905,36504,21,113840,1,DM—
"Greene, Alexander",WEST,QA,24895,36662,21,71640,3,———
"Chapman, Jessica",TAFT,QA,23413,36673,21,59550,2,D——
"Preston, Chris",MAIN,Quality Assurance,26045,36680,21,88210,2,DMR
"McClain, Steven",NORTH,Quality Assurance,28832,36812,20,71540,4,———
"Pierce, Karen",MAIN,Quality Assurance,26821,36937,20,64010,2,DMR
"Marsh, Cynthia",MAIN,Quality Assurance,25648,37406,19,51480,5,DMR
"Williams, Scott",NORTH,QA,25170,37452,19,109160,3,DM—
"Todd, Steven",MAIN,Quality Assurance,26917,38008,17,83200,1,DM—
"Norton, Bruce",MAIN,Quality Assurance,29300,38025,17,87700,3,DM—
"Wong, Dennis",NORTH,Quality Assurance,25440,38060,17,45320,3,DMR
"Perkins, Donald",WEST,QA,27031,38103,17,83110,1,—MR
"Walters, Ann",NORTH,QA,29992,38149,17,103900,4,DM—
"Tucker, James",NORTH,Quality Assurance,29596,38221,16,49860,5,—M—
"Rios, Fredrick",SOUTH,Quality Assurance,28343,38367,16,42400,1,D——
"Allison, Timothy",NORTH,QA,26648,38548,16,92770,3,D——
"Villarreal, Stephen",MAIN,Quality Assurance,30544,38664,15,,1,———
"Richard, Karen",WEST,Quality Assurance,26392,38942,14,51480,3,D——
"Sawyer, Catherine",NORTH,Quality Assurance,26953,38964,14,91340,4,D—R
"Dawson, Jonathan",WEST,QA,28406,39012,14,88470,1,DM—
"Elliott, Anthony",NORTH,Quality Assurance,28765,39059,14,60560,5,—MR
"Trujillo, Shawn",WATSON,QA,27945,39166,14,63690,3,———
"Decker, Amy",NORTH,Quality Assurance,28242,39178,14,38620,4,—MR
"Kennedy, Kimberly",WATSON,Quality Assurance,32075,40277,11,108890,5,——R
"Lowery, Charles",SOUTH,Quality Assurance,28266,40445,10,38560,5,—MR
"Carrillo, Robert",WEST,Quality Assurance,29467,40889,9,42120,5,—MR
"Morrison, Julie",SOUTH,Quality Assurance,32649,41005,9,110500,3,D——
"Reyes, Mary",NORTH,QA,32088,41554,7,97100,3,———
"Rodriquez, Denise",WEST,Quality Assurance,29552,41805,7,,5,———
"Bradley, David",NORTH,Quality Assurance,33929,42397,5,38720,5,D—R
"Nelson, Shira",WEST,Quality Assurance,29270,42467,5,95120,2,D——
"Roberts, Jackie",SOUTH,QA,29934,42730,4,30610,5,—MR
"Martinez, Kathleen",NORTH,Quality Assurance,30503,43233,3,105940,3,D——
"Nunez, Benning",WATSON,Quality Assurance,28779,36542,21,34170,5,—MR
"Pitts, Dana",MAIN,Quality Assurance,25652,38340,16,56420,2,———
"Hobbs, Scott",SOUTH,Quality Assurance,27462,38494,16,52180,5,DM—
"Warren, Jean",MAIN,QA,27401,38848,15,46170,2,DMR
"Norman, Rita",NORTH,Quality Assurance,31332,39075,14,62500,1,—MR
"Snyder, Duane",MAIN,Quality Assurance,29874,39183,14,27710,4,DMR
"Pena, Erik",WEST,Quality Assurance,31819,40427,10,37650,4,—MR
"Howard, Lisa",SOUTH,QA,27655,40467,10,64340,1,—MR
"Howard, Lisa",SOUTH,QA,27655,40467,10,64340,1,—MR
"Romero, Randy",WEST,Quality Assurance,26967,35908,23,40220,2,—M—
"Dyer, Carrie",MAIN,Quality Assurance,24339,36832,20,34960,5,D——
"Newman, Aria",MAIN,Quality Assurance,25740,36997,20,48560,4,D——
"Blackburn, Kathryn",WATSON,QA,28050,37686,18,31270,4,DM—
"Christensen, Jill",MAIN,Quality Assurance,29310,38054,17,44230,4,DMR
"Wise, Ted",MAIN,Quality Assurance,26788,38513,16,16940,5,——R
"Knight, Denise",WEST,QA,29994,38521,16,23640,5,D—R
"Barnett, Brenda",WATSON,Quality Assurance,29563,39209,14,20530,4,D——
"Morrow, Richard",NORTH,Quality Control,23817,35796,23,30810,4,D——
"Walls, Brian",MAIN,Quality Control,25879,35845,23,83970,5,—M—
"Mack, Barry",NORTH,Quality Control,26770,36214,22,75900,1,DMR
"Curtis, Patrick",WEST,Quality Control,23058,36441,21,78050,4,D——
"McCoy, Preston",WEST,Quality Control,28191,36472,21,92800,3,D——
"Spencer, Boyd",NORTH,Quality Control,24399,36626,21,92600,2,———
"Yates, Doug",MAIN,Quality Control,24007,36629,21,83540,5,DMR
"Matthews, Diane",NORTH,Quality Control,26693,36778,20,99730,3,—M—
"Merritt, Kevin",SOUTH,Quality Control,27470,36787,20,103740,1,DM—
"Long, Gary",SOUTH,Quality Control,28260,36811,20,46520,3,—M—
"Wolf, Debbie",NORTH,QC,29499,37186,19,59540,1,———
"Durham, Troy",MAIN,Quality Control,27648,37375,19,,3,———
"Hurst, Thomas",SOUTH,Quality Control,27369,37932,17,55140,5,———
"Pruitt, Randy",SOUTH,Quality Control,27351,37990,17,115940,2,—M—
"Parrish, Debra",NORTH,Quality Control,28336,38478,16,59440,3,DMR
"Nixon, Randy",WEST,QC,29601,38845,15,76890,2,———
"Nixon, Randy",WEST,QC,29601,38845,15,76890,2,———
"Small, Athanasios",WATSON,Quality Control,26436,39717,12,101820,5,D—R
"Lambert, Jody",MAIN,Quality Control,28191,39751,12,37320,5,DMR
"Stewart, Elizabeth",WATSON,Quality Control,27973,39793,12,33700,3,DM—
"Webster, David",WATSON,QC,27514,40105,11,64800,4,DMR
"Collier, Dean",SOUTH,Quality Control,32450,41090,9,43400,3,DMR
"Bullock, Greg",WEST,Quality Control,29336,42380,5,113570,5,——R
"Brewer, Kent",NORTH,Quality Control,33135,42887,4,106560,3,—MR
"Schroeder, Bennet",WATSON,Quality Control,34621,42986,3,62410,1,D—R
"Avila, Jody",NORTH,Quality Control,35480,43175,3,61470,4,———
"Marks, LaReina",NORTH,Quality Control,32527,43215,3,73270,3,—MR
"Crawford, Ronald",TAFT,Quality Control,33169,43290,3,56750,4,DMR
"Chase, Troy",MAIN,QC,25863,35931,23,31940,5,——R
"Hawkins, Douglas",NORTH,Quality Control,26686,36333,22,61450,4,D—R
"Craig, Alan",MAIN,Quality Control,23667,36458,21,82870,3,D—R
"Trevino, Gary",WATSON,Quality Control,25305,36573,21,42450,3,——R
"Dudley, James",MAIN,Quality Control,27993,36609,21,78530,3,D—R
"Chambers, Richard",SOUTH,QC,25918,36630,21,61260,2,—MR
"Reese, Marc",NORTH,Quality Control,25982,36938,20,115130,1,D——
"Barr, Jennifer",MAIN,Quality Control,25499,37077,20,97480,2,—MR
"Hayes, Edward",MAIN,Quality Control,23933,37322,19,,5,———
"Cook, Mark",NORTH,Quality Control,28770,37704,18,85510,5,——R
"Erickson, Ricky",NORTH,QC,24444,37789,18,44340,5,——R
"Livingston, Lynette",NORTH,Quality Control,29858,37928,17,77050,5,——R
"Douglas, Kenneth",TAFT,Quality Control,28027,37959,17,41830,4,D—R
"Ruiz, Randall",MAIN,QC,24881,38016,17,35810,5,—M—
"Weaver, Eric",NORTH,Quality Control,28906,38279,16,54620,2,D—R
"Fischer, David",WATSON,QC,27362,38428,16,113940,4,DMR
"Fischer, David",WATSON,QC,27362,38428,16,113940,4,DMR
"Harrell, Cristin",NORTH,Quality Control,27545,38677,15,85100,5,D—R
"McBride, Grazyna",TAFT,Quality Control,25901,38732,15,63900,5,DMR
"Dean, Gayla",SOUTH,Quality Control,30348,38895,15,102540,3,———
"Shields, Robert",MAIN,Quality Control,29344,38982,14,,2,———
"Berry, Jacklyn",NORTH,Quality Control,31454,39201,14,46810,1,—MR
"Anderson, Teason",NORTH,QC,30731,39271,14,95000,4,—M—
"Lawrence, Ronald",NORTH,Quality Control,31020,39324,13,86220,5,D——
"Hardy, Svetlana",TAFT,Quality Control,28092,39495,13,62870,3,DM—
"Martin, Terry",NORTH,Quality Control,26190,39608,13,65910,1,—M—
"Harrington, Aron",NORTH,Quality Control,28983,39619,13,83240,4,—MR
"Vargas, Bryant",TAFT,QC,27371,39661,12,103900,2,DM—
"Page, Lisa",TAFT,Quality Control,32088,40147,11,79600,2,D——
"Barton, Barry",NORTH,Quality Control,27804,40462,10,63370,3,DM—
"Ross, Janice",NORTH,Quality Control,28190,40980,9,63730,4,—MR
"Marquez, Thomas",WEST,Quality Control,29384,40999,9,107370,2,DM—
"Schmidt, Michael",TAFT,Quality Control,33025,41278,8,58780,2,DMR
"Harding, Erin",SOUTH,Quality Control,31473,41823,7,33910,2,DM—
"Atkins, Kevin",NORTH,QC,30002,41935,6,32970,3,—M—
"Rose, Mark",SOUTH,Quality Control,30154,42093,6,90900,2,—MR
"Pugh, Lawrence",WEST,Quality Control,32307,42254,5,104780,5,—MR
"Camacho, Stephanie",SOUTH,Quality Control,31019,42331,5,30120,5,D——
"Shaffer, Nobuko",NORTH,Quality Control,30537,42380,5,108730,5,———
"Torres, Bruce",MAIN,QC,34873,42670,4,46190,3,DMR
"Waters, Alfred",WATSON,Quality Control,31850,43188,3,93360,1,——R
"Oliver, Francisco",NORTH,Quality Control,30823,43220,3,61230,5,DM—
"O'Brien, Madelyn",MAIN,Quality Control,30521,43289,3,114360,3,—MR
"Frank, William",MAIN,Quality Control,30885,43332,2,30400,4,DM—
"Poole, Tracy",MAIN,QC,32457,43332,2,53140,5,—MR
"Dunn, Matthew",NORTH,Quality Control,25839,36043,22,17760,2,—MR
"Juarez, Neill",NORTH,Quality Control,24147,36657,21,26310,1,DM—
"Moreno, Christopher",WATSON,Quality Control,24965,37949,17,50300,2,D—R
"Roy, Margarita",NORTH,Quality Control,25288,38118,17,49710,4,DM—
"Schneider, Gay",WEST,Quality Control,26246,38170,17,18070,5,DM—
"Robertson, Nathan",SOUTH,Quality Control,28759,38705,15,60860,5,—M—
"Daniel, Robert",TAFT,Quality Control,30121,39017,14,26170,2,—MR
"Kelley, Nancy",NORTH,QC,31186,39114,14,34560,5,D—R
"Pratt, Erik",NORTH,QC,27412,39570,13,,5,———
"Chavez, Thomas",SOUTH,Quality Control,33438,42187,6,64790,5,D——
"Chavez, Thomas",SOUTH,Quality Control,33438,42187,6,64790,5,D——
"Gross, Davin",NORTH,Quality Control,28010,37477,18,35570,4,DMR
"Carter, Allan",NORTH,QC,25974,37899,17,44550,3,D——
"Tyler, Javier",NORTH,Quality Control,29985,38228,16,37970,3,DMR
"Hines, Herb",WATSON,Quality Control,29745,39110,14,42950,2,D——
"Price, Diana",WEST,Quality Control,29466,41298,8,,2,———
"Santos, Garret",WEST,Research Center,27387,36039,22,112870,4,———
"Lewis, Frederick",MAIN,Research Center,33181,43371,2,87290,4,—MR
"Owens, Dwight",MAIN,Research Center,27432,39643,13,84040,5,DM—
"Glover, Eugene",WEST,Research Center,29496,39725,12,53700,5,D——
"Heath, Deborah",WATSON,Research Center,31905,40336,11,56500,5,—M—
"Bennett, Chris",NORTH,Research/Development,23168,36655,21,80200,2,———
"Peters, Robert",NORTH,Research/Development,27914,37177,19,85430,5,D—R
"Dodson, David",TAFT,Research/Development,33852,43036,3,61620,1,DMR
"Fox, Ellen",WATSON,Research/Development,28187,39209,14,41250,2,D——
"Francis, Todd",WATSON,Research/Development,31160,43195,3,25140,1,—MR
